"a_number","b_number","duration","weight","startTime","callDay","startDate"
"089-1000037","089-1000006","502","502.0","19.15","Sunday","20150906"
"089-1000037","089-1000095","260","260.0","8.34","Tuesday","20150906"
"089-1000037","089-1000041","304","304.0","19.41","Saturday","20150925"
"089-1000037","089-1000078","348","348.0","12.45","Wednesday","20150909"
"089-1000037","089-1000008","290","290.0","7.24","Monday","20150908"
"089-1000037","089-1000003","265","265.0","16.18","Thursday","20150929"
"089-1000037","089-1000069","381","381.0","2.44","Saturday","20150930"
"089-1000037","089-1000091","202","202.0","8.47","Monday","20150917"
"089-1000037","089-1000033","264","264.0","14.18","Tuesday","20150914"
"089-1000037","089-1000048","422","422.0","16.44","Sunday","20150926"
"089-1000037","089-1000053","22","22.0","22.38","Sunday","20150906"
"089-1000053","089-1000099","364","364.0","4.17","Wednesday","20150924"
"089-1000053","089-1000076","511","511.0","1.1","Friday","20150901"
"089-1000053","089-1000019","115","115.0","12.56","Saturday","20150930"
"089-1000053","089-1000000","23","23.0","11.1","Sunday","20150924"
"089-1000053","089-1000003","54","54.0","16.35","Wednesday","20150910"
"089-1000053","089-1000084","421","421.0","6.17","Saturday","20150926"
"089-1000053","089-1000063","505","505.0","15.52","Friday","20150905"
"089-1000053","089-1000006","331","331.0","18.58","Sunday","20150916"
"089-1000053","089-1000036","482","482.0","0.38","Tuesday","20150925"
"089-1000082","089-1000044","595","595.0","18.31","Saturday","20150930"
"089-1000082","089-1000088","466","466.0","10.52","Thursday","20150926"
"089-1000082","089-1000072","314","314.0","10.25","Tuesday","20150916"
"089-1000082","089-1000011","236","236.0","9.57","Monday","20150926"
"089-1000082","089-1000073","563","563.0","19.45","Thursday","20150915"
"089-1000082","089-1000051","517","517.0","23.23","Saturday","20150901"
"089-1000082","089-1000074","35","35.0","9.51","Monday","20150923"
"089-1000082","089-1000028","51","51.0","5.59","Friday","20150920"
"089-1000082","089-1000068","250","250.0","2.57","Sunday","20150918"
"089-1000082","089-1000022","123","123.0","7.15","Wednesday","20150918"
"089-1000082","089-1000034","559","559.0","11.37","Thursday","20150925"
"089-1000022","089-1000004","45","45.0","8.54","Wednesday","20150913"
"089-1000022","089-1000078","383","383.0","12.3","Monday","20150929"
"089-1000022","089-1000058","558","558.0","11.43","Wednesday","20150903"
"089-1000022","089-1000100","347","347.0","3.43","Thursday","20150904"
"089-1000022","089-1000010","436","436.0","3.5","Friday","20150920"
"089-1000022","089-1000074","366","366.0","0.57","Sunday","20150918"
"089-1000022","089-1000035","50","50.0","19.58","Thursday","20150904"
"089-1000022","089-1000033","417","417.0","19.33","Saturday","20150902"
"089-1000022","089-1000094","522","522.0","21.58","Saturday","20150923"
"089-1000022","089-1000023","46","286.0","12.14","Friday","20150919"
"089-1000022","089-1000011","345","345.0","3.38","Monday","20150903"
"089-1000022","089-1000023","34","34.0","0.12","Thursday","20150923"
"089-1000036","089-1000051","236","236.0","13.32","Friday","20150914"
"089-1000036","089-1000033","506","506.0","18.37","Wednesday","20150907"
"089-1000036","089-1000040","172","172.0","18.53","Saturday","20150915"
"089-1000036","089-1000078","135","135.0","7.27","Thursday","20150912"
"089-1000036","089-1000099","10","10.0","4.43","Wednesday","20150902"
"089-1000036","089-1000030","492","492.0","5.5","Friday","20150907"
"089-1000036","089-1000023","444","444.0","22.39","Saturday","20150901"
"089-1000036","089-1000049","17","17.0","14.14","Friday","20150918"
"089-1000036","089-1000008","137","137.0","2.23","Monday","20150908"
"089-1000036","089-1000042","248","248.0","13.49","Monday","20150918"
"089-1000036","089-1000065","198","198.0","13.23","Wednesday","20150901"
"089-1000065","089-1000005","191","2351.0","0.16","Saturday","20150916"
"089-1000065","089-1000098","502","502.0","17.22","Wednesday","20150927"
"089-1000065","089-1000086","358","358.0","8.55","Friday","20150909"
"089-1000065","089-1000009","534","534.0","23.27","Monday","20150929"
"089-1000065","089-1000005","486","486.0","0.4","Friday","20150902"
"089-1000065","089-1000011","452","452.0","16.17","Tuesday","20150910"
"089-1000065","089-1000033","405","405.0","20.28","Monday","20150908"
"089-1000065","089-1000092","271","271.0","14.36","Monday","20150928"
"089-1000065","089-1000060","267","267.0","7.49","Tuesday","20150923"
"089-1000065","089-1000048","561","561.0","23.45","Thursday","20150912"
"089-1000062","089-1000072","173","173.0","10.29","Friday","20150930"
"089-1000062","089-1000028","23","23.0","13.56","Tuesday","20150917"
"089-1000062","089-1000002","448","448.0","4.55","Monday","20150903"
"089-1000062","089-1000064","328","328.0","13.58","Saturday","20150923"
"089-1000062","089-1000021","433","433.0","9.27","Saturday","20150928"
"089-1000062","089-1000062","571","1171.0","16.16","Tuesday","20150907"
"089-1000062","089-1000091","452","452.0","7.22","Thursday","20150921"
"089-1000062","089-1000081","208","208.0","19.25","Saturday","20150901"
"089-1000062","089-1000044","267","267.0","12.17","Thursday","20150930"
"089-1000062","089-1000025","274","274.0","21.16","Monday","20150929"
"089-1000025","089-1000056","84","84.0","2.56","Friday","20150921"
"089-1000025","089-1000033","410","410.0","3.5","Monday","20150902"
"089-1000025","089-1000096","205","205.0","18.18","Sunday","20150913"
"089-1000025","089-1000092","87","87.0","23.47","Sunday","20150905"
"089-1000025","089-1000028","125","125.0","6.24","Monday","20150919"
"089-1000025","089-1000067","211","211.0","20.53","Friday","20150923"
"089-1000025","089-1000010","307","307.0","14.43","Sunday","20150925"
"089-1000025","089-1000064","584","584.0","15.22","Monday","20150904"
"089-1000025","089-1000017","300","300.0","18.51","Saturday","20150928"
"089-1000025","089-1000012","331","331.0","16.53","Friday","20150923"
"089-1000025","089-1000041","518","518.0","18.58","Monday","20150919"
"089-1000025","089-1000074","465","465.0","23.36","Sunday","20150905"
"089-1000025","089-1000025","484","1024.0","13.31","Friday","20150919"
"089-1000047","089-1000067","209","209.0","17.49","Wednesday","20150922"
"089-1000047","089-1000071","72","72.0","15.36","Thursday","20150903"
"089-1000047","089-1000097","124","124.0","1.36","Saturday","20150904"
"089-1000047","089-1000006","376","376.0","19.58","Friday","20150912"
"089-1000047","089-1000095","559","1039.0","3.57","Thursday","20150909"
"089-1000047","089-1000095","65","65.0","9.39","Tuesday","20150931"
"089-1000047","089-1000018","261","261.0","19.47","Thursday","20150921"
"089-1000047","089-1000024","78","78.0","1.36","Wednesday","20150931"
"089-1000047","089-1000015","327","327.0","1.19","Wednesday","20150903"
"089-1000047","089-1000082","579","579.0","11.57","Monday","20150928"
"089-1000047","089-1000027","233","233.0","11.53","Tuesday","20150928"
"089-1000047","089-1000047","84","204.0","16.47","Sunday","20150916"
"089-1000028","089-1000040","174","174.0","21.24","Wednesday","20150920"
"089-1000028","089-1000080","251","251.0","20.21","Wednesday","20150914"
"089-1000028","089-1000043","209","209.0","9.42","Sunday","20150927"
"089-1000028","089-1000005","112","112.0","15.17","Sunday","20150904"
"089-1000028","089-1000058","441","441.0","12.53","Saturday","20150916"
"089-1000028","089-1000062","220","220.0","19.59","Tuesday","20150902"
"089-1000028","089-1000087","460","460.0","5.14","Friday","20150926"
"089-1000028","089-1000072","248","248.0","21.16","Thursday","20150923"
"089-1000028","089-1000013","239","239.0","14.28","Monday","20150916"
"089-1000028","089-1000011","513","513.0","8.25","Friday","20150922"
"089-1000028","089-1000002","332","332.0","5.11","Monday","20150905"
"089-1000028","089-1000037","346","346.0","16.37","Wednesday","20150928"
"089-1000028","089-1000014","138","138.0","10.12","Wednesday","20150918"
"089-1000028","089-1000006","184","184.0","7.53","Sunday","20150907"
"089-1000006","089-1000006","473","1913.0","9.22","Thursday","20150905"
"089-1000006","089-1000089","476","476.0","18.34","Thursday","20150907"
"089-1000006","089-1000006","205","205.0","20.42","Monday","20150911"
"089-1000006","089-1000078","412","412.0","23.47","Tuesday","20150916"
"089-1000006","089-1000094","457","457.0","12.55","Thursday","20150925"
"089-1000006","089-1000015","343","343.0","3.33","Sunday","20150927"
"089-1000006","089-1000029","275","275.0","21.55","Wednesday","20150909"
"089-1000006","089-1000024","38","38.0","9.56","Wednesday","20150906"
"089-1000006","089-1000031","359","359.0","8.4","Friday","20150916"
"089-1000006","089-1000062","84","84.0","4.41","Saturday","20150925"
"089-1000006","089-1000049","166","166.0","12.12","Friday","20150931"
"089-1000006","089-1000030","315","315.0","5.29","Thursday","20150930"
"089-1000006","089-1000100","81","81.0","18.36","Monday","20150904"
"089-1000024","089-1000093","259","259.0","23.53","Saturday","20150916"
"089-1000024","089-1000065","196","1636.0","2.53","Wednesday","20150922"
"089-1000024","089-1000027","597","597.0","18.38","Wednesday","20150931"
"089-1000024","089-1000043","507","2427.0","16.3","Saturday","20150919"
"089-1000024","089-1000070","534","534.0","22.54","Friday","20150930"
"089-1000024","089-1000058","381","381.0","2.58","Friday","20150902"
"089-1000024","089-1000043","437","437.0","3.53","Saturday","20150924"
"089-1000024","089-1000096","471","471.0","3.21","Friday","20150924"
"089-1000024","089-1000092","72","72.0","0.33","Sunday","20150928"
"089-1000024","089-1000065","323","323.0","18.43","Friday","20150924"
"089-1000059","089-1000004","580","580.0","13.1","Friday","20150931"
"089-1000059","089-1000020","251","251.0","23.14","Monday","20150909"
"089-1000059","089-1000037","264","264.0","9.38","Sunday","20150922"
"089-1000059","089-1000053","375","375.0","13.5","Thursday","20150910"
"089-1000059","089-1000090","172","172.0","22.17","Saturday","20150912"
"089-1000059","089-1000057","507","507.0","20.12","Sunday","20150905"
"089-1000059","089-1000069","330","330.0","3.22","Friday","20150914"
"089-1000059","089-1000082","400","400.0","14.44","Sunday","20150902"
"089-1000059","089-1000009","432","432.0","21.12","Friday","20150905"
"089-1000059","089-1000039","428","428.0","17.25","Monday","20150924"
"089-1000059","089-1000005","384","384.0","11.55","Tuesday","20150925"
"089-1000059","089-1000055","428","428.0","17.18","Saturday","20150909"
"089-1000059","089-1000070","289","289.0","1.45","Thursday","20150919"
"089-1000059","089-1000017","34","34.0","20.34","Saturday","20150920"
"089-1000017","089-1000073","110","1070.0","3.49","Thursday","20150907"
"089-1000017","089-1000015","339","339.0","22.12","Thursday","20150909"
"089-1000017","089-1000073","230","230.0","3.27","Wednesday","20150908"
"089-1000017","089-1000071","306","306.0","21.12","Friday","20150926"
"089-1000017","089-1000072","257","257.0","15.22","Sunday","20150915"
"089-1000017","089-1000058","133","133.0","16.24","Wednesday","20150924"
"089-1000017","089-1000055","373","373.0","21.59","Tuesday","20150921"
"089-1000017","089-1000093","189","189.0","9.14","Saturday","20150911"
"089-1000094","089-1000007","519","519.0","9.33","Friday","20150922"
"089-1000094","089-1000100","165","165.0","8.33","Saturday","20150913"
"089-1000094","089-1000086","247","247.0","11.2","Sunday","20150912"
"089-1000094","089-1000050","138","138.0","22.18","Tuesday","20150917"
"089-1000094","089-1000041","134","134.0","15.33","Saturday","20150920"
"089-1000094","089-1000025","455","455.0","2.44","Sunday","20150905"
"089-1000094","089-1000078","483","483.0","14.16","Monday","20150923"
"089-1000094","089-1000058","492","492.0","12.12","Monday","20150911"
